id,participant_id,scale,item,item_id,item_type,version,condition,trial_index,response,reaction_time
266,25,IRQ,24,24,critical,,,916,3,6442.0
267,25,IRQ,6,6,critical,,,917,3,5352.0
268,25,IRQ,8,8,critical,,,918,4,16203.0
269,25,IRQ,3,3,critical,,,919,3,4732.0
270,25,IRQ,39,39,catch,,,920,1,3430.0
271,25,IRQ,9,9,critical,,,921,4,7726.0
272,25,IRQ,11,11,critical,,,922,4,6376.0
273,25,IRQ,35,35,critical,,,923,3,11433.0
274,25,IRQ,19,19,critical,,,924,2,7318.0
275,25,IRQ,4,4,critical,,,925,4,9768.0
276,25,IRQ,20,20,critical,,,926,3,5819.0
277,25,IRQ,23,23,critical,,,927,1,6763.0
278,25,IRQ,22,22,critical,,,928,4,7171.0
279,25,IRQ,17,17,critical,,,929,4,4878.0
280,25,IRQ,21,21,critical,,,930,4,5735.0
281,25,IRQ,5,5,critical,,,931,4,7812.0
282,25,IRQ,38,38,catch,,,932,5,3987.0
283,25,IRQ,2,2,critical,,,933,4,14377.0
284,25,IRQ,25,25,critical,,,934,1,7010.0
285,25,IRQ,16,16,critical,,,935,4,3088.0
286,25,IRQ,10,10,critical,,,936,3,12105.0
287,25,IRQ,28,28,critical,,,937,4,7484.0
288,25,IRQ,7,7,critical,,,938,4,3638.0
289,28,IRQ,22,22,critical,,,900,4,8446.0
290,28,IRQ,20,20,critical,,,901,4,3918.0
291,28,IRQ,4,4,critical,,,902,3,8573.0
292,28,IRQ,14,14,critical,,,903,4,4118.0
293,28,IRQ,8,8,critical,,,904,3,9065.0
294,28,IRQ,30,30,critical,,,905,4,18210.0
295,28,IRQ,11,11,critical,,,906,4,5420.0
296,28,IRQ,19,19,critical,,,907,2,3383.0
297,28,IRQ,27,27,critical,,,908,4,6150.0
298,28,IRQ,10,10,critical,,,909,3,9439.0
299,28,IRQ,28,28,critical,,,910,4,6685.0
300,28,IRQ,2,2,critical,,,911,4,5385.0
301,28,IRQ,38,38,catch,,,912,5,3332.0
302,28,IRQ,18,18,critical,,,913,4,5772.0
303,28,IRQ,29,29,critical,,,914,3,6809.0
304,28,IRQ,32,32,critical,,,915,5,10848.0
305,28,IRQ,25,25,critical,,,916,2,6564.0
306,28,IRQ,24,24,critical,,,917,2,6509.0
307,28,IRQ,37,37,catch,,,918,1,4113.0
308,28,IRQ,36,36,critical,,,919,4,5101.0
309,28,IRQ,3,3,critical,,,920,3,4909.0
310,28,IRQ,23,23,critical,,,921,3,4955.0
311,28,IRQ,26,26,critical,,,922,4,5779.0
312,28,IRQ,12,12,critical,,,923,4,6283.0
313,28,IRQ,35,35,critical,,,924,3,25577.0
314,28,IRQ,17,17,critical,,,925,4,4519.0
315,28,IRQ,9,9,critical,,,926,3,5010.0
316,28,IRQ,13,13,critical,,,927,5,5513.0
317,28,IRQ,33,33,critical,,,928,3,4230.0
318,28,IRQ,15,15,critical,,,929,4,4794.0
319,28,IRQ,16,16,critical,,,930,4,4815.0
320,28,IRQ,21,21,critical,,,931,5,4600.0
321,28,IRQ,39,39,catch,,,932,1,3169.0
322,28,IRQ,5,5,critical,,,933,2,5410.0
323,28,IRQ,7,7,critical,,,934,3,2996.0
324,28,IRQ,34,34,critical,,,935,5,7740.0
325,28,IRQ,1,1,critical,,,936,3,4784.0
326,28,IRQ,6,6,critical,,,937,4,3785.0
327,28,IRQ,31,31,critical,,,938,2,3265.0
328,30,IRQ,18,18,critical,,,900,5,6693.0
329,30,IRQ,23,23,critical,,,901,2,6346.0
330,30,IRQ,9,9,critical,,,902,3,8352.0
331,30,IRQ,36,36,critical,,,903,4,9711.0
332,30,IRQ,21,21,critical,,,904,4,5398.0
